title,text,label
"Coro Coro Comics, CiaoLaunch NewCoroCiaoMagazine",,real
Studio N Apologizes AfterThe Remarried EmpressLive-Action Series' Costume Prop Causes Controversy,,real
NewAssassination ClassroomFilm Announces More Cast,,real
GAEA-TIMA the GigantisManga Has Anime in the Works,,real
Code Vein IIGame's Trailer Highlights Character Noah G. MagMell,,real
Crunchyroll StreamsFUUTO PI: Kamen Rider Skull no ShōzōAnime Film in India,,real
Multiple Home Editions ofDan Da DanWill Be Released in the U.K. on Monday,,real
Attack on TitanConcert Reveals 2026 U.S. Tour Dates,,real
"'Killed Again, Mr. Detective?'Light Novels Get TV Anime Next April",,real
"Re:ZEROSeason 4's Main Trailer Reveals New Cast, April 2026 Debut",,real
"A Misanthrope Teaches a Class for Demi-HumansAnime Reveals More Cast, Theme Song Artists",,real
"Sasaki and PeepsSeason 2 Unveils New Visual, 2026 Debut",,real
"SHIBOYUGI: Playing Death Games to Put Food on the TableAnime Reveals January 7 Debut, More Cast in Video",,real
The Detective is Already DeadSeason 2's  Teaser Reveals July 2026 Debut,,real
"Girls & Panzer: Motto Love Love Sakusen Desu!Anime Reveals Theme Songs, Promo Video for 1st of 4 Films",,real
5thGirls und Panzer das FinaleFilm Opens in 2026,,real
"Classroom of the EliteSeason 4 Unveils Trailer, Key Visual, Cast, April Debut",,real
"Muse India StreamsNew Game!Seasons 1, 2 on YouTube",,real
4K Restoration of Mamoru Oshii'sThe Red SpectaclesFilm Screens in N.Y. on November 21-23,,real
100 MetersWill Be Released in U.K. and Ireland Cinemas From Sunday,,real
You Don't Know Gunma YetLight Anime's 2nd Teaser Reveals Theme Song,,real
"Japan's Video Game Rankings, November 3-9",,real
Manga Up! Global AddsThe Corrupt Guildmaster Is Beloved by the BanishedManga in English,,real
"Japanese Animation TV Ranking, November 3-9",,real
Korean Government to Conduct Industry-Wide Survey on Webtoons,,real
FUUTO PI: Kamen Rider Skull no ShōzōAnime Film Streams on Crunchyroll,,real
"Kaya, Utahime Dream All Stars Perform Themes forA Tale of the Secret SaintAnime",,real
XSEED Games Cancels Release ofCorpse Party Tetralogy Pack,,real
Daejeon Hosts 2025 University Webtoon Championship,,real
