title,text,url,source,anime,timestamp,label
"Zipangu Music Festival Brings Ado, 'Atarashii Gakkō!,' More Japanese Artists to Los Angeles","Event on May 16 also hosts Chanmina, Hana, MAN WITH A MISSION, Yuki Chiba, 10-Feet",https://www.animenewsnetwork.com/news/2025-11-22/zipangu-music-festival-brings-ado-atarashii-gakko-more-japanese-artists-to-los-angeles/.231295,AnimeNewsNetwork,unknown,"Sat, 22 Nov 2025 08:15:00 -0500",real
"Rakuen Tsuihō -Expelled from Paradise- Kokoro no Resonance Sequel Film's 3rd Teaser Unveils Cast, More Staff, November 2026 Opening","Ayane Sakura, Saori Hayami, Yoshino Aoyama, Sally Amaki star",https://www.animenewsnetwork.com/news/2025-11-22/rakuen-tsuiho-expelled-from-paradise-kokoro-no-resonance-sequel-film-3rd-teaser-unveils-cast-more-/.231300,AnimeNewsNetwork,OP,"Sat, 22 Nov 2025 07:23:01 -0500",real
"Japan's Video Game Rankings, November 10-16","Momotaro Dentetsu 2 debuts at #1 for Switch, #3 for Switch 2",https://www.animenewsnetwork.com/news/2025-11-22/japan-video-game-rankings-november-10-16/.231294,AnimeNewsNetwork,unknown,"Sat, 22 Nov 2025 06:15:00 -0500",real
Scum of the Brave TV Anime Casts Yumiri Hanamori,Harumi voices Sara Kashiwagi Pendragon,https://www.animenewsnetwork.com/news/2025-11-22/scum-of-the-brave-tv-anime-casts-yumiri-hanamori/.231298,AnimeNewsNetwork,unknown,"Sat, 22 Nov 2025 06:14:59 -0500",real
"Japanese Animation TV Ranking, November 10-16",My Hero Academia earns 3.3% rating; Wandance earns 2.4% rating,https://www.animenewsnetwork.com/news/2025-11-22/japanese-animation-tv-ranking-november-10-16/.231293,AnimeNewsNetwork,My Hero Academia,"Sat, 22 Nov 2025 04:15:00 -0500",real
Tokyopop Reveals 11 New Manga Licenses,"How My Cute Girlfriend and I Started a Love Story; There, Beneath the Water; more licensed",https://www.animenewsnetwork.com/news/2025-11-22/tokyopop-reveals-11-new-manga-licenses/.231292,AnimeNewsNetwork,OP,"Sat, 22 Nov 2025 02:15:00 -0500",real
"Demon Slayer, Scarlet, Chainsaw Man, ChaO, More Anime Films Confirmed Eligible for 2026 Oscars","Colorful Stage!, 100 Meters, Dragon Heart, Lost in Starlight, KPop Demon Hunters also eligible",https://www.animenewsnetwork.com/news/2025-11-22/demon-slayer-scarlet-chainsaw-man-chao-more-anime-films-confirmed-eligible-for-2026-oscars/.231289,AnimeNewsNetwork,OP,"Sat, 22 Nov 2025 00:15:00 -0500",real
Frieren Looks Up: Anime/Manga Pros Giving Drawing Tips to Beginners,Professionals from the anime & manga worlds offer sample art to aspiring fan artist,https://www.animenewsnetwork.com/interest/2025-11-22/frieren-looks-up-anime-manga-pros-giving-drawing-tips-to-beginners/.231280,AnimeNewsNetwork,unknown,"Sat, 22 Nov 2025 00:00:00 -0500",real
My Happy Marriage Anime Gets 3-Episode Special in 2026,"Anime airs on TV, streams worldwide on Netflix",https://www.animenewsnetwork.com/news/2025-11-21/my-happy-marriage-anime-gets-3-episode-special-in-2026/.231270,AnimeNewsNetwork,unknown,"Fri, 21 Nov 2025 22:15:13 -0500",real
Dragon Ball Announces 1st Worldwide Character Popularity Poll,Are you voting for Son Goku or Kakarot? Or maybe 1 of the 3 Son Gohans?,https://www.animenewsnetwork.com/interest/2025-11-21/dragon-ball-announces-1st-worldwide-character-popularity-poll/.231277,AnimeNewsNetwork,OP,"Fri, 21 Nov 2025 21:00:00 -0500",real
"Korean Appeals Court Sentences Operator Behind NunuTV, OKToon Piracy Sites to 4.5 Years in Prison",Appeals court serves harsher sentence than initial 3-year term issued by lower court,https://www.animenewsnetwork.com/news/2025-11-21/korean-appeals-court-sentences-operator-behind-nunutv-oktoon-piracy-sites-to-4.5-years-in-prison/.231186,AnimeNewsNetwork,OP,"Fri, 21 Nov 2025 17:15:00 -0500",real
Jaedam Media to Release French Webtoon Selection in Korean in 2026,"Initiative commemorates 140th anniversary of diplomatic relations between Korea, France",https://www.animenewsnetwork.com/news/2025-11-21/jaedam-media-to-release-french-webtoon-selection-in-korean-in-2026/.231183,AnimeNewsNetwork,unknown,"Fri, 21 Nov 2025 15:15:00 -0500",real
Lezhin Entertainment Launches New Webtoon-Based Music Project Group,SPAKLZ features characters from 14 Lezhin webtoons,https://www.animenewsnetwork.com/news/2025-11-21/lezhin-entertainment-launches-new-webtoon-based-music-project-group/.231258,AnimeNewsNetwork,unknown,"Fri, 21 Nov 2025 13:15:00 -0500",real
Touring After the Apocalypse Volume 2-3 Manga Review,"Even after destruction, Japan’s tourist destinations are worth visiting.",https://www.animenewsnetwork.com/review/touring-after-the-apocalypse-volume-2-3-manga/.230592,AnimeNewsNetwork,unknown,"Fri, 21 Nov 2025 12:00:00 -0500",real
An Hour of Romance Webtoon Confirmed for Live-Action Adaptation,Story follows 2 people who begin swapping souls for exactly 1 hour each day,https://www.animenewsnetwork.com/news/2025-11-21/an-hour-of-romance-webtoon-confirmed-for-live-action-adaptation/.231187,AnimeNewsNetwork,OP,"Fri, 21 Nov 2025 11:15:00 -0500",real
