title,text,url,source,anime,label
Bride of the Water GodManhwa Returns After 11 Years With New Sequel Series,,https://www.animenewsnetwork.com/news/2025-11-22/bride-of-the-water-god-manhwa-returns-after-11-years-with-new-sequel-series/.231266,AnimeNewsNetwork,unknown,real
"Zipangu Music Festival Brings Ado, 'Atarashii Gakkō!,' More Japanese Artists to Los Angeles",,https://www.animenewsnetwork.com/news/2025-11-22/zipangu-music-festival-brings-ado-atarashii-gakko-more-japanese-artists-to-los-angeles/.231295,AnimeNewsNetwork,unknown,real
"Expelled from ParadiseSequel Film's 3rd Teaser Unveils Cast, More Staff, November 2026 Opening",,https://www.animenewsnetwork.com/news/2025-11-22/rakuen-tsuiho-expelled-from-paradise-kokoro-no-resonance-sequel-film-3rd-teaser-unveils-more-staff-/.231300,AnimeNewsNetwork,One Piece,real
"Japan's Video Game Rankings, November 10-16",,https://www.animenewsnetwork.com/news/2025-11-22/japan-video-game-rankings-november-10-16/.231294,AnimeNewsNetwork,unknown,real
Scum of the BraveTV Anime Casts Yumiri Hanamori,,https://www.animenewsnetwork.com/news/2025-11-22/scum-of-the-brave-tv-anime-casts-yumiri-hanamori/.231298,AnimeNewsNetwork,unknown,real
"Japanese Animation TV Ranking, November 10-16",,https://www.animenewsnetwork.com/news/2025-11-22/japanese-animation-tv-ranking-november-10-16/.231293,AnimeNewsNetwork,unknown,real
Tokyopop Reveals 11 New Manga Licenses,,https://www.animenewsnetwork.com/cms/discuss/231292,AnimeNewsNetwork,One Piece,real
"Demon Slayer, Scarlet, Chainsaw Man, ChaO, More Anime Films Confirmed Eligible for 2026 Oscars",,https://www.animenewsnetwork.com/cms/discuss/231289,AnimeNewsNetwork,Demon Slayer,real
My Happy MarriageAnime Gets 3-Episode Special in 2026,,https://www.animenewsnetwork.com/cms/discuss/231270,AnimeNewsNetwork,unknown,real
"Korean Appeals Court Sentences Operator Behind NunuTV, OKToon Piracy Sites to 4.5 Years in Prison",,https://www.animenewsnetwork.com/cms/discuss/231186,AnimeNewsNetwork,One Piece,real
Jaedam Media to Release French Webtoon Selection in Korean in 2026,,https://www.animenewsnetwork.com/news/2025-11-21/jaedam-media-to-release-french-webtoon-selection-in-korean-in-2026/.231183,AnimeNewsNetwork,unknown,real
Lezhin Entertainment Launches New Webtoon-Based Music Project Group,,https://www.animenewsnetwork.com/cms/discuss/231258,AnimeNewsNetwork,unknown,real
An Hour of RomanceWebtoon Confirmed for Live-Action Adaptation,,https://www.animenewsnetwork.com/news/2025-11-21/an-hour-of-romance-webtoon-confirmed-for-live-action-adaptation/.231187,AnimeNewsNetwork,unknown,real
My Daughter is a ZombieFilm Wins Top Audience Award at Blue Dragon Film Awards,,https://www.animenewsnetwork.com/news/2025-11-21/my-daughter-is-a-zombie-film-wins-top-audience-award-at-blue-dragon-film-awards/.231261,AnimeNewsNetwork,One Piece,real
'Now That We Draw'Manga Gets TV Anime,,https://www.animenewsnetwork.com/cms/discuss/231278,AnimeNewsNetwork,unknown,real
"'Noble Reincarnation: Born Blessed, So I'll Obtain Ultimate Power' Anime Reveals More Cast, Key Visual",,https://www.animenewsnetwork.com/news/2025-11-21/noble-reincarnation-born-blessed-so-ill-obtain-ultimate-power-anime-reveals-more-cast-key-visual/.231274,AnimeNewsNetwork,unknown,real
"Hindi Dubs ofWeathering With You,your name., More Makoto Shinkai Films Stream on Crunchyroll on December 4",,https://www.animenewsnetwork.com/news/2025-11-21/hindi-dubs-of-weathering-with-you-your-name-more-makoto-shinkai-films-stream-on-crunchyroll-on-/.231155,AnimeNewsNetwork,unknown,real
"'Anyway, I'm Falling in Love with You'2nd Season Reveals January 8 Debut, New Visual",,https://www.animenewsnetwork.com/news/2025-11-21/anyway-im-falling-in-love-with-you-2nd-season-reveals-january-8-debut-new-visual/.231273,AnimeNewsNetwork,unknown,real
"MF Ghost3rd Season Anime Reveals January 4 Debut, Theme Songs in Promo Video",,https://www.animenewsnetwork.com/news/2025-11-21/mf-ghost-3rd-season-anime-reveals-january-4-debut-theme-songs-in-promo-video/.231272,AnimeNewsNetwork,unknown,real
Live-ActionReturn to Silent HillFilm's Trailer Shows James Drawn to Town,,https://www.animenewsnetwork.com/cms/discuss/231271,AnimeNewsNetwork,unknown,real
2nd Live-ActionGolden KamuyFilm Casts Tetta Sugimoto as Anji Toni,,https://www.animenewsnetwork.com/news/2025-11-21/2nd-live-action-golden-kamuy-film-casts-tetta-sugimoto-as-anji-toni/.231253,AnimeNewsNetwork,unknown,real
Let This Grieving Soul Retire!2nd Season Anime Casts Hidenari Ugaki,,https://www.animenewsnetwork.com/news/2025-11-21/let-this-grieving-soul-retire-2nd-season-anime-casts-hidenari-ugaki/.231256,AnimeNewsNetwork,unknown,real
Nippon Ichi RevealsShinigami Hime to Ishokan no KaibutsuGame,,https://www.animenewsnetwork.com/cms/discuss/231252,AnimeNewsNetwork,unknown,real
The Great Jahy Will Not Be Defeated!Manga to End in 13th Volume,,https://www.animenewsnetwork.com/cms/discuss/231254,AnimeNewsNetwork,unknown,real
"Fist of the North Star: Elegy of Ken-Oh's Army GruntsAnime Unveils Staff, January 5 Debut",,https://www.animenewsnetwork.com/news/2025-11-20/fist-of-the-north-star-elegy-of-ken-oh-army-grunts-anime-unveils-staff-january-5-debut/.231255,AnimeNewsNetwork,unknown,real
Gundam: Silver PhantomVR Anime Debuts on PlayStation VR2 on November 21,,https://www.animenewsnetwork.com/cms/discuss/231251,AnimeNewsNetwork,unknown,real
"Donkey Kong Bananza,Pokémon GOWin at Golden Joystick Awards 2025",,https://www.animenewsnetwork.com/cms/discuss/231250,AnimeNewsNetwork,unknown,real
"Seishōnen Ashibe'sHiromi Morishita, Syohei Launch New Manga on December 19",,https://www.animenewsnetwork.com/cms/discuss/231200,AnimeNewsNetwork,unknown,real
